delegate,voting_power
0x11b9dd6d3129eb740011b1a948adcbcb67758a10,7266.0296302958795
0x88bd639d6b029596b029c61490f29f57b0bf4a3f,7231.384067118281
0x134a1fc52c13eb57da610595509aab389140fdd9,7172.534240265439
0xb3313b023e68cda95d7b625200e1b0fe6335a0c2,7163.1513391816325
0xa586cbf75fb4b8987bab7d24be4545fcaa0e757c,7116.875966627472
0xe719529be204d3c1243952fb5722e0cfaa0b2be5,7023.466857336285
0xa13f3599ff620500f360dc6185ad30f625ebfc38,7014.73316995869
0xe8458e583b4c22c8e6c9ed8871cfafb9fe1bc8a5,7000.000000789291
0x3f2fdd690e4d63905e7dc1ab5dc5e7451760b4f9,6999.8
0x2343c228d0d4974e0827db3ab07572979f26c09e,6929.390674606821
0xe65ee900a08fa2290d991609c6a35f2a52c4b8c7,6824.657915094875
0x5f0b726d9b98a0744fe19141fea973546cd009f9,6668.395454096746
0x25b65e29930d163e93cb6a6a9d3a37cb58640f06,6588.73842244777
0x4a64b2820a06a67ee878157a7f48611463d6bd78,6558.193504576116
0x36f322fc85b24ab13263cfe9217b28f8e2b38381,6547.369432110411
0x9c8984a1b26ea82ffcc7a4ef058b303a85b7fa25,6384.478803824435
0xd66164c4b658f3704b5caa67b33f07f3842ee063,6375.429371817202
0xcd0f084f0713676d8d74217c34120a3489b885e6,6323.231620216834
0xf1fea522700eca78bae3b41fdc6a847f00608542,6273.198370790397
0xca5502084a800fc1b03ca0943cee78a0716d6ae4,6262.285049136318
0x67a30e95b1171031a40adf1a62723e16150d125c,6257.768758177809
0x70b9238b5e5b27954ce998c255a60d63c19100ef,6247.299639648113
0x98c29dfc977487ef4601929a4ae9a4f4647a8824,6184.38680564143
0x6af3631cf1d610e6576bf617b20f61bda28d48e7,6183.577101805081
0x05fe1ca008c94f0b20b284496e371ff9f4a5b084,6169.974077843854
0xf6868c51d32ca4a97dcae669821a420c3b2888b8,6121.693342279357
0xecd02810db92ff027ea1b0850d46bda963676d74,6063.43792145828
0x5b3bffc0bcf8d4caec873fdcf719f60725767c98,6044.190899677118
0x31c915e24aa4863250e7815538fd9207400d70bf,6014.800000232479
0xcbf4e2115ab017cbde3106af6f47a94568687a19,6000.117640778403
0xe703f6710c0472011aa85a2ffed11cb74ae3c1f6,6000.0
0xda4966870a9b4ce849c2011a007a896b7f212b70,6000.0
0x6c8bde31530ca3382150fb18e17d8f920ccf86be,6000.0
0x50df0af8a06f82fccb0acb77d8c986785b36d734,6000.0
0xe1b973ff69dd47b2b3b00bf2159ced7680e37260,5956.47786924691
0x276b5785286fa9b13931ef8deaabd3445824bb74,5938.117942088402
0xad343355a5326bd86c5852edb4e3272a7467a343,5933.202706674227
0x035788949685b3f0210f2aa9a8a4915804b54e74,5913.891888443083
